country;pop;year;value
Afghanistan;total;1950;7752.118
Afghanistan;males;1950;4099.243
Afghanistan;females;1950;3652.874
Afghanistan;rural;1950;7286.991
Afghanistan;urban;1950;465.127
Afghanistan;total;1951;7840.156
Afghanistan;males;1951;4134.756
Afghanistan;females;1951;3705.395
Afghanistan;rural;1951;7352.856
Afghanistan;urban;1951;486.654
Afghanistan;total;1952;7935.997
Afghanistan;males;1952;4174.45
Afghanistan;females;1952;3761.546
Afghanistan;rural;1952;7425.363
Afghanistan;urban;1952;509.617
Afghanistan;total;1953;8039.694
Afghanistan;males;1953;4218.336
Afghanistan;females;1953;3821.348
Afghanistan;rural;1953;7504.561
Afghanistan;urban;1953;534.035
Afghanistan;total;1954;8151.317
Afghanistan;males;1954;4266.484
Afghanistan;females;1954;3884.832
Afghanistan;rural;1954;7590.37
Afghanistan;urban;1954;560.077
Afghanistan;total;1955;8270.991
Afghanistan;males;1955;4318.945
Afghanistan;females;1955;3952.047
Afghanistan;rural;1955;7682.763
Afghanistan;urban;1955;587.818
Afghanistan;total;1956;8398.875
Afghanistan;males;1956;4375.8
Afghanistan;females;1956;4023.073
Afghanistan;rural;1956;7781.641
Afghanistan;urban;1956;617.389
Afghanistan;total;1957;8535.163
Afghanistan;males;1957;4437.157
Afghanistan;females;1957;4098
Afghanistan;rural;1957;7886.997
Afghanistan;urban;1957;648.81
Afghanistan;total;1958;8680.101
Afghanistan;males;1958;4503.156
Afghanistan;females;1958;4176.941
Afghanistan;rural;1958;7998.664
Afghanistan;urban;1958;682.282
Afghanistan;total;1959;8833.946
Afghanistan;males;1959;4573.914
Afghanistan;females;1959;4260.033
Afghanistan;rural;1959;8116.554
Afghanistan;urban;1959;717.891
Afghanistan;total;1960;8996.973
Afghanistan;males;1960;4649.573
Afghanistan;females;1960;4347.394
Afghanistan;rural;1960;8240.554
Afghanistan;urban;1960;755.797
Afghanistan;total;1961;9169.41
Afghanistan;males;1961;4730.25
Afghanistan;females;1961;4439.156
Afghanistan;rural;1961;8370.731
Afghanistan;urban;1961;796.033
Afghanistan;total;1962;9351.441
Afghanistan;males;1962;4816.05
Afghanistan;females;1962;4535.392
Afghanistan;rural;1962;8507.016
Afghanistan;urban;1962;838.852
Afghanistan;total;1963;9543.205
Afghanistan;males;1963;4907.03
Afghanistan;females;1963;4636.17
Afghanistan;rural;1963;8649.566
Afghanistan;urban;1963;884.388
Afghanistan;total;1964;9744.781
Afghanistan;males;1964;5003.245
Afghanistan;females;1964;4741.527
Afghanistan;rural;1964;8798.496
Afghanistan;urban;1964;932.865
Afghanistan;total;1965;9956.32
Afghanistan;males;1965;5104.765
Afghanistan;females;1965;4851.553
Afghanistan;rural;1965;8954.064
Afghanistan;urban;1965;984.35
Afghanistan;total;1966;10174.836
Afghanistan;males;1966;5210.122
Afghanistan;females;1966;4964.718
Afghanistan;rural;1966;9113.479
Afghanistan;urban;1966;1038.852
Afghanistan;total;1967;10399.926
Afghanistan;males;1967;5319.123
Afghanistan;females;1967;5080.813
Afghanistan;rural;1967;9276.202
Afghanistan;urban;1967;1096.428
Afghanistan;total;1968;10637.063
Afghanistan;males;1968;5434.458
Afghanistan;females;1968;5202.606
Afghanistan;rural;1968;9446.519
Afghanistan;urban;1968;1157.827
Afghanistan;total;1969;10893.776
Afghanistan;males;1969;5559.836
Afghanistan;females;1969;5333.936
Afghanistan;rural;1969;9630.541
Afghanistan;urban;1969;1223.887
Afghanistan;total;1970;11173.642
Afghanistan;males;1970;5697.024
Afghanistan;females;1970;5476.63
Afghanistan;rural;1970;9830.69
Afghanistan;urban;1970;1295.433
Afghanistan;total;1971;11475.445
Afghanistan;males;1971;5845.351
Afghanistan;females;1971;5630.099
Afghanistan;rural;1971;10045.261
Afghanistan;urban;1971;1372.564
Afghanistan;total;1972;11791.215
Afghanistan;males;1972;6000.895
Afghanistan;females;1972;5790.327
Afghanistan;rural;1972;10267.199
Afghanistan;urban;1972;1454.741
Afghanistan;total;1973;12108.963
Afghanistan;males;1973;6157.843
Afghanistan;females;1973;5951.12
Afghanistan;rural;1973;10487.151
Afghanistan;urban;1973;1540.671
Afghanistan;total;1974;12412.95
Afghanistan;males;1974;6308.583
Afghanistan;females;1974;6104.377
Afghanistan;rural;1974;10692.696
Afghanistan;urban;1974;1628.845
Afghanistan;total;1975;12689.16
Afghanistan;males;1975;6446.273
Afghanistan;females;1975;6242.891
Afghanistan;rural;1975;10872.864
Afghanistan;urban;1975;1717.422
Afghanistan;total;1976;12943.093
Afghanistan;males;1976;6573.732
Afghanistan;females;1976;6369.361
Afghanistan;rural;1976;11033.148
Afghanistan;urban;1976;1807.151
Afghanistan;total;1977;13171.306
Afghanistan;males;1977;6689.144
Afghanistan;females;1977;6482.15
Afghanistan;rural;1977;11170.461
Afghanistan;urban;1977;1897.077
Afghanistan;total;1978;13341.198
Afghanistan;males;1978;6776.023
Afghanistan;females;1978;6565.176
Afghanistan;rural;1978;11255.639
Afghanistan;urban;1978;1982.095
Afghanistan;total;1979;13411.056
Afghanistan;males;1979;6813.205
Afghanistan;females;1979;6597.855
Afghanistan;rural;1979;11251.885
Afghanistan;urban;1979;2054.81
Afghanistan;total;1980;13356.511
Afghanistan;males;1980;6788.273
Afghanistan;females;1980;6568.227
Afghanistan;rural;1980;11129.292
Afghanistan;urban;1980;2119.078
Afghanistan;total;1981;13171.673
Afghanistan;males;1981;6698.73
Afghanistan;females;1981;6472.949
Afghanistan;rural;1981;10891.902
Afghanistan;urban;1981;2162.052
Afghanistan;total;1982;12882.528
Afghanistan;males;1982;6557.673
Afghanistan;females;1982;6324.845
Afghanistan;rural;1982;10563.504
Afghanistan;urban;1982;2186.141
Afghanistan;total;1983;12537.73
Afghanistan;males;1983;6388.704
Afghanistan;females;1983;6149.028
Afghanistan;rural;1983;10190.525
Afghanistan;urban;1983;2198.744
Afghanistan;total;1984;12204.292
Afghanistan;males;1984;6224.263
Afghanistan;females;1984;5980.043
Afghanistan;rural;1984;9834.677
Afghanistan;urban;1984;2212.438
Afghanistan;total;1985;11938.208
Afghanistan;males;1985;6091.889
Afghanistan;females;1985;5846.315
Afghanistan;rural;1985;9544.582
Afghanistan;urban;1985;2238.468
Afghanistan;total;1986;11736.179
Afghanistan;males;1986;5988.52
Afghanistan;females;1986;5747.657
Afghanistan;rural;1986;9321.752
Afghanistan;urban;1986;2279.289
Afghanistan;total;1987;11604.534
Afghanistan;males;1987;5918.156
Afghanistan;females;1987;5686.382
Afghanistan;rural;1987;9166.105
Afghanistan;urban;1987;2336.656
Afghanistan;total;1988;11618.005
Afghanistan;males;1988;5922.669
Afghanistan;females;1988;5695.339
Afghanistan;rural;1988;9117.52
Afghanistan;urban;1988;2423.368
Afghanistan;total;1989;11868.877
Afghanistan;males;1989;6054.345
Afghanistan;females;1989;5814.528
Afghanistan;rural;1989;9293.948
Afghanistan;urban;1989;2483.661
Afghanistan;total;1990;12412.308
Afghanistan;males;1990;6344.617
Afghanistan;females;1990;6067.694
Afghanistan;rural;1990;9655.167
Afghanistan;urban;1990;2593.947
Afghanistan;total;1991;13299.017
Afghanistan;males;1991;6821.673
Afghanistan;females;1991;6477.343
Afghanistan;rural;1991;10230.49
