Kod;Nazwa;saldo migracji_ogółem_1995_osoba;saldo migracji_ogółem_1996_osoba;saldo migracji_ogółem_1997_osoba;saldo migracji_ogółem_1998_osoba;saldo migracji_ogółem_1999_osoba;saldo migracji_ogółem_2000_osoba;saldo migracji_ogółem_2001_osoba;saldo migracji_ogółem_2002_osoba;saldo migracji_ogółem_2003_osoba;saldo migracji_ogółem_2004_osoba;saldo migracji_ogółem_2005_osoba;saldo migracji_ogółem_2006_osoba;saldo migracji_ogółem_2007_osoba;saldo migracji_ogółem_2008_osoba;saldo migracji_ogółem_2009_osoba;saldo migracji_ogółem_2010_osoba;saldo migracji_ogółem_2011_osoba;saldo migracji_ogółem_2012_osoba;saldo migracji_ogółem_2013_osoba;saldo migracji_ogółem_2014_osoba;saldo migracji_ogółem_2015_osoba;saldo migracji_ogółem_2016_osoba;saldo migracji_ogółem_2017_osoba;saldo migracji_ogółem_2018_osoba;saldo migracji_ogółem_2019_osoba;saldo migracji na 1000 osób_ogółem_1995_osoba;saldo migracji na 1000 osób_ogółem_1996_osoba;saldo migracji na 1000 osób_ogółem_1997_osoba;saldo migracji na 1000 osób_ogółem_1998_osoba;saldo migracji na 1000 osób_ogółem_1999_osoba;saldo migracji na 1000 osób_ogółem_2000_osoba;saldo migracji na 1000 osób_ogółem_2001_osoba;saldo migracji na 1000 osób_ogółem_2002_osoba;saldo migracji na 1000 osób_ogółem_2003_osoba;saldo migracji na 1000 osób_ogółem_2004_osoba;saldo migracji na 1000 osób_ogółem_2005_osoba;saldo migracji na 1000 osób_ogółem_2006_osoba;saldo migracji na 1000 osób_ogółem_2007_osoba;saldo migracji na 1000 osób_ogółem_2008_osoba;saldo migracji na 1000 osób_ogółem_2009_osoba;saldo migracji na 1000 osób_ogółem_2010_osoba;saldo migracji na 1000 osób_ogółem_2011_osoba;saldo migracji na 1000 osób_ogółem_2012_osoba;saldo migracji na 1000 osób_ogółem_2013_osoba;saldo migracji na 1000 osób_ogółem_2014_osoba;saldo migracji na 1000 osób_ogółem_2015_osoba;saldo migracji na 1000 osób_ogółem_2016_osoba;saldo migracji na 1000 osób_ogółem_2017_osoba;saldo migracji na 1000 osób_ogółem_2018_osoba;saldo migracji na 1000 osób_ogółem_2019_osoba;
0000000;POLSKA;-18223;-13111;-11796;-13261;-14011;-19668;-16743;-17945;-13765;-9382;-12878;-36134;-20485;-14865;-1196;-2114;-4334;-6617;-19904;-15750;0;1505;1436;3612;6183;;;;;;;;;-0,4;-0,2;-0,3;-0,9;-0,5;-0,4;0,0;-0,1;-0,1;-0,2;-0,5;-0,4;0,0;0,0;0,0;0,1;0,2;
0200000;DOLNOŚLĄSKIE;-1845;-1290;-1798;-2009;-1473;-1972;-1015;-2102;-2257;-1406;-1849;-3626;-1570;-1160;907;1385;1071;940;27;556;0;2809;2783;3712;4839;;;;;;;;;-0,8;-0,5;-0,6;-1,3;-0,5;-0,4;0,3;0,5;0,4;0,3;0,0;0,2;0,0;1,0;1,0;1,3;1,7;
0201000;Powiat bolesławiecki;-204;-153;-54;-43;267;65;94;-150;14;-62;-129;-42;-93;-26;-11;-51;-91;-88;-117;-56;0;61;39;108;29;;;;;;;;;0,2;-0,7;-1,5;-0,5;-1,1;-0,3;-0,1;-0,6;-1,0;-1,0;-1,3;-0,6;0,0;0,7;0,4;1,2;0,3;
0201011;Bolesławiec (1);-156;-99;-130;-130;-148;-195;-91;-231;-195;-234;-210;-293;-285;-178;-219;-151;-186;-149;-191;-167;0;41;33;6;63;;;;;;;;;-4,7;-5,7;-5,1;-7,2;-7,0;-4,4;-5,5;-3,7;-4,6;-3,7;-4,8;-4,2;0,0;1,0;0,8;0,2;1,6;
0201022;Bolesławiec (2);52;19;91;72;107;87;93;131;128;97;107;191;157;149;162;86;86;115;80;37;0;42;112;160;86;;;;;;;;;10,6;7,9;8,8;15,4;12,4;11,7;12,4;6,4;6,3;8,3;5,8;2,6;0,0;3,0;7,8;11,0;5,9;
0201032;Gromadka (2);-34;-33;-25;-21;-6;-1;-6;-10;-4;-8;-16;-25;-29;-28;-45;-11;-18;2;-17;-19;0;-24;-73;21;-37;;;;;;;;;-0,7;-1,4;-2,9;-4,5;-5,2;-5,1;-8,2;-2,0;-3,3;0,4;-3,1;-3,5;0,0;-4,4;-13,6;3,9;-6,9;
0201043;Nowogrodziec (3);-40;-33;-22;-39;-21;-25;3;-40;20;16;-33;-1;-23;-27;43;53;36;-12;-62;-15;0;-5;-56;-57;-53;;;;;;;;;1,4;1,1;-2,2;-0,1;-1,6;-1,8;2,9;3,5;2,4;-0,8;-4,1;-1,0;0,0;-0,3;-3,7;-3,7;-3,5;
0201044;Nowogrodziec - miasto (4);23;14;5;-12;-50;-12;-8;-11;-12;-3;-36;1;-39;-24;-14;-17;23;-13;5;-2;0;-39;-14;-21;-17;;;;;;;;;-2,9;-0,7;-8,9;0,2;-9,6;-6,0;-3,5;-4,0;5,4;-3,1;1,2;-0,5;0,0;-9,2;-3,3;-5,0;-4,0;
0201045;Nowogrodziec - obszar wiejski (5);-63;-47;-27;-27;29;-13;11;-29;32;19;3;-2;16;-3;57;70;13;1;-67;-13;0;34;-42;-36;-36;;;;;;;;;3,0;1,8;0,3;-0,2;1,5;-0,3;5,3;6,4;1,2;0,1;-6,1;-1,2;0,0;3,1;-3,8;-3,3;-3,3;
0201052;Osiecznica (2);13;-8;85;98;339;188;92;-18;7;-17;-32;-38;0;0;-21;-69;-56;-66;-9;46;0;-36;-48;-23;1;;;;;;;;;1,0;-2,4;-4,5;-5,4;0,0;0,0;-2,9;-9,1;-7,4;-8,8;-1,2;6,1;0,0;-4,8;-6,4;-3,1;0,1;
