Kod;Nazwa;T2005;T2006;T2007;T2008;T2009;T2010;T2011;T2012;T2013;T2014;T2015;T2016;T2017;T2018;T2019;M2005;M2006;M2007;M2008;M2009;M2010;M2011;M2012;M2013;M2014;M2015;M2016;M2017;M2018;M2019;F2005;F2006;F2007;F2008;F2009;F2010;F2011;F2012;F2013;F2014;F2015;F2016;F2017;F2018;F2019;
0000000;POLSKA;38157055;38125479;38115641;38135876;38167329;38529866;38538447;38533299;38495659;38478602;38437239;38432992;38433558;38411148;38382576;18453855;18426775;18411501;18414926;18428742;18653125;18654577;18649334;18629535;18619809;18597991;18593166;18593175;18581886;18567052;19703200;19698704;19704140;19720950;19738587;19876741;19883870;19883965;19866124;19858793;19839248;19839826;19840383;19829262;19815524;
0200000;DOLNOŚLĄSKIE;2888232;2882317;2878410;2877059;2876627;2917242;2916577;2914362;2909997;2908457;2904207;2903710;2902547;2901225;2900163;1386247;1382491;1379463;1378316;1377897;1403342;1402975;1401750;1399490;1398554;1396318;1395960;1395407;1394978;1394635;1501985;1499826;1498947;1498743;1498730;1513900;1513602;1512612;1510507;1509903;1507889;1507750;1507140;1506247;1505528;
0201000;Powiat bolesławiecki;88341;88501;88557;88848;89051;90506;90528;90420;90306;90346;90199;90180;90173;90200;90103;42788;42811;42851;42974;43087;44032;44040;44001;43962;43947;43810;43783;43804;43798;43739;45553;45690;45706;45874;45964;46474;46488;46419;46344;46399;46389;46397;46369;46402;46364;
0201011;Bolesławiec (1);40984;40679;40384;40258;40021;40309;40119;39851;39603;39464;39373;39167;39084;38935;38872;19250;19080;18934;18853;18750;19085;18985;18859;18737;18640;18543;18436;18432;18342;18301;21734;21599;21450;21405;21271;21224;21134;20992;20866;20824;20830;20731;20652;20593;20571;
0201022;Bolesławiec (2);12289;12542;12673;12945;13140;13564;13714;13899;13995;14092;14104;14210;14391;14626;14699;6118;6212;6285;6416;6497;6747;6824;6896;6955;7013;7003;7048;7143;7253;7299;6171;6330;6388;6529;6643;6817;6890;7003;7040;7079;7101;7162;7248;7373;7400;
0201032;Gromadka (2);5586;5565;5525;5501;5443;5515;5491;5519;5496;5483;5438;5417;5345;5367;5337;2806;2788;2776;2768;2734;2756;2742;2755;2749;2744;2722;2710;2658;2666;2653;2780;2777;2749;2733;2709;2759;2749;2764;2747;2739;2716;2707;2687;2701;2684;
0201043;Nowogrodziec (3);14729;14779;14831;14834;14912;15218;15287;15285;15240;15250;15281;15311;15290;15258;15214;7247;7275;7268;7280;7326;7483;7508;7518;7506;7503;7526;7562;7572;7561;7526;7482;7504;7563;7554;7586;7735;7779;7767;7734;7747;7755;7749;7718;7697;7688;
0201044;Nowogrodziec - miasto (4);4056;4068;4038;4030;4031;4205;4248;4236;4230;4227;4259;4237;4244;4235;4207;1959;1952;1934;1944;1949;2034;2052;2045;2042;2043;2072;2070;2079;2079;2057;2097;2116;2104;2086;2082;2171;2196;2191;2188;2184;2187;2167;2165;2156;2150;
0201045;Nowogrodziec - obszar wiejski (5);10673;10711;10793;10804;10881;11013;11039;11049;11010;11023;11022;11074;11046;11023;11007;5288;5323;5334;5336;5377;5449;5456;5473;5464;5460;5454;5492;5493;5482;5469;5385;5388;5459;5468;5504;5564;5583;5576;5546;5563;5568;5582;5553;5541;5538;
0201052;Osiecznica (2);7064;7068;7186;7291;7394;7585;7547;7542;7553;7558;7490;7482;7398;7371;7349;3523;3531;3595;3647;3697;3820;3805;3804;3816;3809;3776;3757;3698;3695;3680;3541;3537;3591;3644;3697;3765;3742;3738;3737;3749;3714;3725;3700;3676;3669;
