Kod;Nazwa;Item;Year;Value
0000000;POLSKA;ADR;2002;
0000000;POLSKA;ADR;2003;18.6
0000000;POLSKA;ADR;2004;18.7
0000000;POLSKA;ADR;2005;18.9
0000000;POLSKA;ADR;2006;19.0
0000000;POLSKA;ADR;2007;18.9
0000000;POLSKA;ADR;2008;18.9
0000000;POLSKA;ADR;2009;19.0
0000000;POLSKA;ADR;2010;18.9
0000000;POLSKA;ADR;2011;19.4
0000000;POLSKA;ADR;2012;20.1
0000000;POLSKA;ADR;2013;21.0
0000000;POLSKA;ADR;2014;21.9
0000000;POLSKA;ADR;2015;22.8
0000000;POLSKA;ADR;2016;23.9
0000000;POLSKA;ADR;2017;25.0
0000000;POLSKA;ADR;2018;26.1
0000000;POLSKA;ADR;2019;27.2
0000000;POLSKA;65P;2002;
0000000;POLSKA;65P;2003;
0000000;POLSKA;65P;2004;
0000000;POLSKA;65P;2005;
0000000;POLSKA;65P;2006;
0000000;POLSKA;65P;2007;
0000000;POLSKA;65P;2008;
0000000;POLSKA;65P;2009;
0000000;POLSKA;65P;2010;13.5
0000000;POLSKA;65P;2011;13.8
0000000;POLSKA;65P;2012;14.2
0000000;POLSKA;65P;2013;14.7
0000000;POLSKA;65P;2014;15.3
0000000;POLSKA;65P;2015;15.8
0000000;POLSKA;65P;2016;16.4
0000000;POLSKA;65P;2017;17.0
0000000;POLSKA;65P;2018;17.5
0000000;POLSKA;65P;2019;18.1
0200000;DOLNOŚLĄSKIE;ADR;2002;
0200000;DOLNOŚLĄSKIE;ADR;2003;18.5
0200000;DOLNOŚLĄSKIE;ADR;2004;18.7
0200000;DOLNOŚLĄSKIE;ADR;2005;18.8
0200000;DOLNOŚLĄSKIE;ADR;2006;18.8
0200000;DOLNOŚLĄSKIE;ADR;2007;18.7
0200000;DOLNOŚLĄSKIE;ADR;2008;18.6
0200000;DOLNOŚLĄSKIE;ADR;2009;18.5
0200000;DOLNOŚLĄSKIE;ADR;2010;18.4
0200000;DOLNOŚLĄSKIE;ADR;2011;18.9
0200000;DOLNOŚLĄSKIE;ADR;2012;19.8
0200000;DOLNOŚLĄSKIE;ADR;2013;20.9
0200000;DOLNOŚLĄSKIE;ADR;2014;22.0
0200000;DOLNOŚLĄSKIE;ADR;2015;23.2
0200000;DOLNOŚLĄSKIE;ADR;2016;24.6
0200000;DOLNOŚLĄSKIE;ADR;2017;26.0
0200000;DOLNOŚLĄSKIE;ADR;2018;27.4
0200000;DOLNOŚLĄSKIE;ADR;2019;28.7
0200000;DOLNOŚLĄSKIE;65P;2002;
0200000;DOLNOŚLĄSKIE;65P;2003;
0200000;DOLNOŚLĄSKIE;65P;2004;
0200000;DOLNOŚLĄSKIE;65P;2005;
0200000;DOLNOŚLĄSKIE;65P;2006;
0200000;DOLNOŚLĄSKIE;65P;2007;
0200000;DOLNOŚLĄSKIE;65P;2008;
0200000;DOLNOŚLĄSKIE;65P;2009;
0200000;DOLNOŚLĄSKIE;65P;2010;13.3
0200000;DOLNOŚLĄSKIE;65P;2011;13.7
0200000;DOLNOŚLĄSKIE;65P;2012;14.2
0200000;DOLNOŚLĄSKIE;65P;2013;14.8
0200000;DOLNOŚLĄSKIE;65P;2014;15.5
0200000;DOLNOŚLĄSKIE;65P;2015;16.2
0200000;DOLNOŚLĄSKIE;65P;2016;17.0
0200000;DOLNOŚLĄSKIE;65P;2017;17.7
0200000;DOLNOŚLĄSKIE;65P;2018;18.4
0200000;DOLNOŚLĄSKIE;65P;2019;19.0
0201000;bolesławiecki;ADR;2002;
0201000;bolesławiecki;ADR;2003;16.7
0201000;bolesławiecki;ADR;2004;16.8
0201000;bolesławiecki;ADR;2005;17.0
0201000;bolesławiecki;ADR;2006;17.2
0201000;bolesławiecki;ADR;2007;17.2
0201000;bolesławiecki;ADR;2008;17.1
0201000;bolesławiecki;ADR;2009;17.1
0201000;bolesławiecki;ADR;2010;16.8
0201000;bolesławiecki;ADR;2011;17.2
0201000;bolesławiecki;ADR;2012;18.0
0201000;bolesławiecki;ADR;2013;19.0
0201000;bolesławiecki;ADR;2014;20.0
0201000;bolesławiecki;ADR;2015;21.2
0201000;bolesławiecki;ADR;2016;22.5
0201000;bolesławiecki;ADR;2017;23.8
0201000;bolesławiecki;ADR;2018;25.1
0201000;bolesławiecki;ADR;2019;26.2
0201000;bolesławiecki;65P;2002;
0201000;bolesławiecki;65P;2003;
0201000;bolesławiecki;65P;2004;
0201000;bolesławiecki;65P;2005;
0201000;bolesławiecki;65P;2006;
0201000;bolesławiecki;65P;2007;
0201000;bolesławiecki;65P;2008;
0201000;bolesławiecki;65P;2009;
0201000;bolesławiecki;65P;2010;12.2
0201000;bolesławiecki;65P;2011;12.4
0201000;bolesławiecki;65P;2012;13.0
0201000;bolesławiecki;65P;2013;13.6
0201000;bolesławiecki;65P;2014;14.2
0201000;bolesławiecki;65P;2015;14.9
0201000;bolesławiecki;65P;2016;15.7
0201000;bolesławiecki;65P;2017;16.4
0201000;bolesławiecki;65P;2018;17.1
0201000;bolesławiecki;65P;2019;17.7
0202000;dzierżoniowski;ADR;2002;
0202000;dzierżoniowski;ADR;2003;21.6
0202000;dzierżoniowski;ADR;2004;21.8
0202000;dzierżoniowski;ADR;2005;21.7
0202000;dzierżoniowski;ADR;2006;21.7
0202000;dzierżoniowski;ADR;2007;21.5
0202000;dzierżoniowski;ADR;2008;21.3
0202000;dzierżoniowski;ADR;2009;21.1
0202000;dzierżoniowski;ADR;2010;20.8
0202000;dzierżoniowski;ADR;2011;21.2
0202000;dzierżoniowski;ADR;2012;22.0
0202000;dzierżoniowski;ADR;2013;22.8
0202000;dzierżoniowski;ADR;2014;24.0
