item;geo;year;value
AGEMOTH;AD;2018;NA
AGEMOTH;AD;2017;NA
AGEMOTH;AD;2016;NA
AGEMOTH;AD;2015;NA
AGEMOTH;AD;2014;NA
AGEMOTH;AD;2013;NA
AGEMOTH;AD;2012;NA
AGEMOTH;AD;2011;NA
AGEMOTH;AD;2010;30.8
AGEMOTH;AD;2009;31.1
AGEMOTH;AD;2008;30.5
AGEMOTH;AD;2007;30.4
AGEMOTH;AD;2006;30.3
AGEMOTH;AD;2005;NA
AGEMOTH;AD;2004;NA
AGEMOTH;AD;2003;NA
AGEMOTH;AD;2002;NA
AGEMOTH;AD;2001;NA
AGEMOTH;AD;2000;NA
AGEMOTH;AD;1999;NA
AGEMOTH;AD;1998;NA
AGEMOTH;AD;1997;NA
AGEMOTH;AD;1996;NA
AGEMOTH;AD;1995;NA
AGEMOTH;AD;1994;NA
AGEMOTH;AD;1993;NA
AGEMOTH;AD;1992;NA
AGEMOTH;AD;1991;NA
AGEMOTH;AD;1990;NA
AGEMOTH;AD;1989;NA
AGEMOTH;AD;1988;NA
AGEMOTH;AD;1987;NA
AGEMOTH;AD;1986;NA
AGEMOTH;AD;1985;NA
AGEMOTH;AD;1984;NA
AGEMOTH;AD;1983;NA
AGEMOTH;AD;1982;NA
AGEMOTH;AD;1981;NA
AGEMOTH;AD;1980;NA
AGEMOTH;AD;1979;NA
AGEMOTH;AD;1978;NA
AGEMOTH;AD;1977;NA
AGEMOTH;AD;1976;NA
AGEMOTH;AD;1975;NA
AGEMOTH;AD;1974;NA
AGEMOTH;AD;1973;NA
AGEMOTH;AD;1972;NA
AGEMOTH;AD;1971;NA
AGEMOTH;AD;1970;NA
AGEMOTH;AD;1969;NA
AGEMOTH;AD;1968;NA
AGEMOTH;AD;1967;NA
AGEMOTH;AD;1966;NA
AGEMOTH;AD;1965;NA
AGEMOTH;AD;1964;NA
AGEMOTH;AD;1963;NA
AGEMOTH;AD;1962;NA
AGEMOTH;AD;1961;NA
AGEMOTH;AD;1960;NA
AGEMOTH;AL;2018;28.6
AGEMOTH;AL;2017;28.4
AGEMOTH;AL;2016;28.2
AGEMOTH;AL;2015;27.9
AGEMOTH;AL;2014;27.8
AGEMOTH;AL;2013;27.7
AGEMOTH;AL;2012;27.5
AGEMOTH;AL;2011;27.4
AGEMOTH;AL;2010;27.5
AGEMOTH;AL;2009;27.5
