unit;month;geo;year;value
NR;M01;AD;2019;NA
NR;M01;AD;2018;38
NR;M01;AD;2017;NA
NR;M01;AD;2016;NA
NR;M01;AD;2015;NA
NR;M01;AD;2014;NA
NR;M01;AD;2013;NA
NR;M01;AD;2012;38
NR;M01;AD;2011;17
NR;M01;AD;2010;29
NR;M01;AD;2009;22
NR;M01;AD;2008;28
NR;M01;AD;2007;29
NR;M01;AD;2006;28
NR;M01;AD;2005;28
NR;M01;AD;2004;NA
NR;M01;AD;2003;NA
NR;M01;AD;2002;NA
NR;M01;AD;2001;NA
NR;M01;AD;2000;NA
NR;M01;AD;1999;NA
NR;M01;AD;1998;NA
NR;M01;AD;1997;NA
NR;M01;AD;1996;NA
NR;M01;AD;1995;NA
NR;M01;AD;1994;NA
NR;M01;AD;1993;NA
NR;M01;AD;1992;NA
NR;M01;AD;1991;NA
NR;M01;AD;1990;NA
NR;M01;AD;1989;NA
NR;M01;AD;1988;NA
NR;M01;AD;1987;NA
NR;M01;AD;1986;NA
NR;M01;AD;1985;NA
NR;M01;AD;1984;NA
NR;M01;AD;1983;NA
NR;M01;AD;1982;NA
NR;M01;AD;1981;NA
NR;M01;AD;1980;NA
NR;M01;AD;1979;NA
NR;M01;AD;1978;NA
NR;M01;AD;1977;NA
NR;M01;AD;1976;NA
NR;M01;AD;1975;NA
NR;M01;AD;1974;NA
NR;M01;AD;1973;NA
NR;M01;AD;1972;NA
NR;M01;AD;1971;NA
NR;M01;AD;1970;NA
NR;M01;AD;1969;NA
NR;M01;AD;1968;NA
NR;M01;AD;1967;NA
NR;M01;AD;1966;NA
NR;M01;AD;1965;NA
NR;M01;AD;1964;NA
NR;M01;AD;1963;NA
NR;M01;AD;1962;NA
NR;M01;AD;1961;NA
NR;M01;AD;1960;NA
NR;M01;AL;2019;NA
NR;M01;AL;2018;2158
NR;M01;AL;2017;3129
NR;M01;AL;2016;2065
NR;M01;AL;2015;2490
NR;M01;AL;2014;1931
NR;M01;AL;2013;2037
NR;M01;AL;2012;NA
NR;M01;AL;2011;NA
NR;M01;AL;2010;NA
NR;M01;AL;2009;NA
NR;M01;AL;2008;NA
NR;M01;AL;2007;NA
NR;M01;AL;2006;1786
NR;M01;AL;2005;1500
NR;M01;AL;2004;2218
NR;M01;AL;2003;NA
NR;M01;AL;2002;NA
NR;M01;AL;2001;NA
NR;M01;AL;2000;NA
NR;M01;AL;1999;NA
NR;M01;AL;1998;1645
NR;M01;AL;1997;NA
NR;M01;AL;1996;NA
NR;M01;AL;1995;NA
NR;M01;AL;1994;NA
NR;M01;AL;1993;NA
NR;M01;AL;1992;NA
NR;M01;AL;1991;NA
NR;M01;AL;1990;NA
NR;M01;AL;1989;NA
NR;M01;AL;1988;NA
NR;M01;AL;1987;NA
NR;M01;AL;1986;NA
NR;M01;AL;1985;NA
NR;M01;AL;1984;NA
NR;M01;AL;1983;NA
NR;M01;AL;1982;NA
NR;M01;AL;1981;NA
NR;M01;AL;1980;NA
NR;M01;AL;1979;NA
NR;M01;AL;1978;NA
NR;M01;AL;1977;NA
NR;M01;AL;1976;NA
NR;M01;AL;1975;NA
NR;M01;AL;1974;NA
NR;M01;AL;1973;NA
NR;M01;AL;1972;NA
NR;M01;AL;1971;NA
NR;M01;AL;1970;NA
NR;M01;AL;1969;NA
NR;M01;AL;1968;NA
NR;M01;AL;1967;NA
NR;M01;AL;1966;NA
NR;M01;AL;1965;NA
NR;M01;AL;1964;NA
NR;M01;AL;1963;NA
NR;M01;AL;1962;NA
NR;M01;AL;1961;NA
NR;M01;AL;1960;NA
NR;M01;AM;2019;NA
NR;M01;AM;2018;2640
NR;M01;AM;2017;2817
NR;M01;AM;2016;3065
NR;M01;AM;2015;2601
NR;M01;AM;2014;2885
NR;M01;AM;2013;NA
NR;M01;AM;2012;NA
NR;M01;AM;2011;NA
NR;M01;AM;2010;NA
NR;M01;AM;2009;2800
NR;M01;AM;2008;2774
NR;M01;AM;2007;2756
NR;M01;AM;2006;2736
NR;M01;AM;2005;2593
NR;M01;AM;2004;NA
NR;M01;AM;2003;NA
NR;M01;AM;2002;NA
NR;M01;AM;2001;NA
NR;M01;AM;2000;NA
NR;M01;AM;1999;NA
NR;M01;AM;1998;NA
NR;M01;AM;1997;NA
NR;M01;AM;1996;NA
NR;M01;AM;1995;NA
NR;M01;AM;1994;NA
NR;M01;AM;1993;NA
NR;M01;AM;1992;NA
NR;M01;AM;1991;NA
NR;M01;AM;1990;NA
NR;M01;AM;1989;NA
NR;M01;AM;1988;NA
NR;M01;AM;1987;NA
NR;M01;AM;1986;NA
NR;M01;AM;1985;NA
NR;M01;AM;1984;NA
NR;M01;AM;1983;NA
NR;M01;AM;1982;NA
NR;M01;AM;1981;NA
NR;M01;AM;1980;NA
NR;M01;AM;1979;NA
NR;M01;AM;1978;NA
NR;M01;AM;1977;NA
NR;M01;AM;1976;NA
NR;M01;AM;1975;NA
NR;M01;AM;1974;NA
NR;M01;AM;1973;NA
NR;M01;AM;1972;NA
NR;M01;AM;1971;NA
NR;M01;AM;1970;NA
NR;M01;AM;1969;NA
NR;M01;AM;1968;NA
NR;M01;AM;1967;NA
NR;M01;AM;1966;NA
NR;M01;AM;1965;NA
NR;M01;AM;1964;NA
NR;M01;AM;1963;NA
NR;M01;AM;1962;NA
NR;M01;AM;1961;NA
NR;M01;AM;1960;NA
NR;M01;AT;2019;7506
NR;M01;AT;2018;8049
NR;M01;AT;2017;9728
NR;M01;AT;2016;7189
NR;M01;AT;2015;8068
NR;M01;AT;2014;6798
NR;M01;AT;2013;7254
NR;M01;AT;2012;6988
NR;M01;AT;2011;6966
NR;M01;AT;2010;6937
NR;M01;AT;2009;8364
NR;M01;AT;2008;7292
NR;M01;AT;2007;6645
NR;M01;AT;2006;6708
NR;M01;AT;2005;7011
NR;M01;AT;2004;7471
NR;M01;AT;2003;7162
NR;M01;AT;2002;7017
NR;M01;AT;2001;6866
NR;M01;AT;2000;8560
NR;M01;AT;1999;7610
NR;M01;AT;1998;6848
NR;M01;AT;1997;7836
NR;M01;AT;1996;8309
NR;M01;AT;1995;7432
NR;M01;AT;1994;8452
NR;M01;AT;1993;7458
NR;M01;AT;1992;8022
NR;M01;AT;1991;7560
NR;M01;AT;1990;8107
NR;M01;AT;1989;8505
NR;M01;AT;1988;7387
NR;M01;AT;1987;8405
NR;M01;AT;1986;7844
NR;M01;AT;1985;8824
NR;M01;AT;1984;7811
NR;M01;AT;1983;9133
NR;M01;AT;1982;8599
NR;M01;AT;1981;8300
NR;M01;AT;1980;8576
NR;M01;AT;1979;8430
NR;M01;AT;1978;8577
NR;M01;AT;1977;8299
NR;M01;AT;1976;8182
NR;M01;AT;1975;11033
NR;M01;AT;1974;8175
NR;M01;AT;1973;10384
NR;M01;AT;1972;9891
