teryt;miasto;dlugosc;szerokosc
3262;Szczecin;14.566667;53.433333
2261;Gdańsk;18.633333;54.366667
2862;Olsztyn;20.500000;53.783333
3064;Poznań;16.916667;52.416667
0264;Wrocław;17.033333;51.116667
1261;Kraków;19.950000;50.050000
2661;Katowice;19.000000;50.250000
1863;Rzeszów;22.016667;50.050000
0663;Lublin;22.566667;51.233333
2661;Kielce;20.616667;50.883333
1661;Opole;17.933333;50.666667
0461;Bydgoszcz;18.000000;53.116667
0862;Zielona Góra;15.500000;51.933333
0861;Gorzów Wielkopolski;15.233333;52.733333
1061;Łódź;19.466667;51.783333
1465;Warszawa;21.033333;52.200000
2061;Białystok;23.166667;53.133333
