dat;year;month;woj;teryt;k64;k65;m64;m65;total
2015-09-01;2015;09;dolnośląskie;02;208;816;463;697;2184
2015-09-01;2015;09;kujawsko-pomorskie;04;126;520;286;492;1424
2015-09-01;2015;09;lubelskie;06;109;597;284;489;1479
2015-09-01;2015;09;lubuskie;08;56;261;148;208;673
2015-09-01;2015;09;łódzkie;10;162;879;395;626;2062
2015-09-01;2015;09;małopolskie;12;172;926;419;777;2294
2015-09-01;2015;09;mazowieckie;14;357;1613;755;1279;4004
2015-09-01;2015;09;opolskie;16;59;310;153;236;758
2015-09-01;2015;09;podkarpackie;18;108;580;242;481;1411
2015-09-01;2015;09;podlaskie;20;63;369;172;331;935
2015-09-01;2015;09;pomorskie;22;143;624;297;512;1576
2015-09-01;2015;09;śląskie;24;373;1322;691;1160;3546
2015-09-01;2015;09;świętokrzyskie;26;60;355;170;353;938
2015-09-01;2015;09;warmińsko-mazurskie;28;72;379;211;301;963
2015-09-01;2015;09;wielkopolskie;30;188;893;465;724;2270
2015-09-01;2015;09;zachodniopomorskie;32;127;477;249;389;1242
2015-10-01;2015;10;dolnośląskie;02;203;1001;534;745;2483
2015-10-01;2015;10;kujawsko-pomorskie;04;149;598;322;530;1599
2015-10-01;2015;10;lubelskie;06;93;705;332;625;1755
2015-10-01;2015;10;lubuskie;08;63;293;152;273;781
2015-10-01;2015;10;łódzkie;10;187;941;453;757;2338
2015-10-01;2015;10;małopolskie;12;221;1030;390;903;2544
2015-10-01;2015;10;mazowieckie;14;372;1852;842;1515;4581
2015-10-01;2015;10;opolskie;16;59;347;142;274;822
2015-10-01;2015;10;podkarpackie;18;88;640;242;520;1490
2015-10-01;2015;10;podlaskie;20;61;414;182;375;1032
2015-10-01;2015;10;pomorskie;22;144;662;327;542;1675
2015-10-01;2015;10;śląskie;24;350;1562;779;1260;3951
2015-10-01;2015;10;świętokrzyskie;26;75;467;227;383;1152
2015-10-01;2015;10;warmińsko-mazurskie;28;81;394;238;384;1097
